colour,currency,description,image_urls,price,product_name
black,AUD,"Minimalist fitted polo neck top fabricated in a wool/cashmere blend
 - High neck with rib detailing
 - Fitted full length sleeves
 - Fitted body
 - Perfect for winter layering",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_2_29_2000x.jpg?v=1581049846>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_2_30_2000x.jpg?v=1581049846>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_2_31_2000x.jpg?v=1581049846>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_28_5f8ca957-d0eb-4a75-93af-573f2e51e994_2000x.jpg?v=1581049846>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_29_f33b8307-ed01-4a59-b728-12ab0062cabf_2000x.jpg?v=1581049846>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_30_35084026-f2c8-4ab5-b4bd-1fccd1789aa9_2000x.jpg?v=1581049846,180.0,Cashmere layering knit
navy,AUD,"Signature Venroy lounge pant in terry towelling fabrication, finished with contrast stripe detail down the side.
 - Grosgrain drawstring
 - Contrast stripe detail down side
 - Signature 'Venroy' branded metal hardware at cord ends
 - Elasticated waist
 - Tapered leg for flattering fit
 - Full length leg
 - Functional side pockets",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_54_2000x.jpg?v=1591581750>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_AW20_04_7e3497dd-0da6-469b-a656-898219545243_2000x.png?v=1592381304>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_55_2000x.jpg?v=1592381304>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_56_2000x.jpg?v=1592381304>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_51_424448b9-2546-4a27-9638-1d1d1b361e81_2000x.jpg?v=1594354034>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_52_29546487-e37b-45e8-8151-9df346b7d6c2_2000x.jpg?v=1594354034,120.0,Terry towel lounge pant
navy,AUD,"Relaxed fit terry towelling crew neck sweater
 - Crew neckline finished with binding
 - Straight relaxed fit on the body
 - Drop shoulder seams
 - Full length sleeves finished with cuff
 - Waist length hem",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_51_2000x.jpg?v=1591581577>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_AW20_04_2000x.png?v=1592381490>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_52_2000x.jpg?v=1592381490>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_53_2000x.jpg?v=1592381490,120.0,Terry towel sweater
military,AUD,"Relaxed fit terry towelling crew neck sweater
 - Crew neckline finished with binding
 - Straight relaxed fit on the body
 - Drop shoulder seams
 - Full length sleeves finished with cuff
 - Waist length hem",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_44_2000x.jpg?v=1591581569>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_45_2000x.jpg?v=1591581569>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_46_2000x.jpg?v=1591581569>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_AW_2_47_2000x.jpg?v=1591581569,120.0,Terry towel sweater
dusty blue,AUD,"Strapless tie back jumpsuit in bonded linen fabrication
 - Strapless fit
 - Open back with functional tie closure
 - Invisible centre back zipper
 - Linen bonded for more structure
 - Side leg split feature
 - Invisible centre back zipper for closure",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_2_8_2000x.jpg?v=1576818255>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_2_9_2000x.jpg?v=1576818255>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_2_7_2000x.jpg?v=1576818255>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_1_96404130-2a48-4632-8d0b-208cd01fa51f_2000x.jpg?v=1575956632,200.0,Tie back jumpsuit
navy,AUD,"Comfortable lightweight signature linen boiler suit with double breast pocket feature
 - Double functional breast pockets
 - Adjustable drop waist
 - Signature gros grain drawstring cord
 - Branded metal hardware cord ends
 - Functional button down torso
 - Side pockets featured in pants
 - Relaxed tapered leg
 - Full length sleeve
 - Button up cuffs",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_24_2000x.jpg?v=1590465962>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_25_2000x.jpg?v=1590465962>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_26_2000x.jpg?v=1590465962,200.0,Patch pocket boiler
white,AUD,"Mini linen playsuit with tie back feature
 - Bonded linen fabrication for extra structure
 - Fitted on the body with slight kick out on the leg
 - Open back with functional tie closure
 - Invisible centre-back zipper in the short",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_73_f6836f2f-be64-4210-91a3-5a9b9a63bcd5_2000x.jpg?v=1580440366>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_74_2000x.jpg?v=1580440366>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_75_2000x.jpg?v=1580440366>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_76_18565bc8-42ed-4d7b-944b-3a1f9c641a4f_2000x.jpg?v=1580440366,160.0,Tie back playsuit
oat prefall,AUD,"Designer Notes Classic raglan sweater in our linen fabrication.
 - Loose knit linen fabrication
 - Ribbed trim detailing on neckline, cuffs and hem
 - Diagonal raglan seam through shoulder
 - Crewneck style
 - Relaxed fit on body",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_28_8b4cf87f-dae0-4ba2-9631-2fd4532e289f_2000x.jpg?v=1582005408>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_29_d685cf74-9b2b-46b1-a888-bac4c1cf4064_2000x.jpg?v=1582005408>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_30_e62f2107-7d8b-4267-8b0e-912b79205cd6_2000x.jpg?v=1582005409,140.0,Womens linen raglan sweater
rosé,AUD,"Pure silk twill crop with straight straps
 - Pure silk twill weave fabrication with subtle surface texture
 - Wash treated for softness
 - Straight across bustline
 - Flattering square neckline
 - Straight thick straps
 - Ruched elastic feature in the back
 - Bra friendly",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_3_7_2000x.jpg?v=1590466162>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_3_10_2000x.jpg?v=1590466162>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_3_11_2000x.jpg?v=1590466162,180.0,Silk crop top
black,AUD,"Venroy sandals offer comfort, luxury and style all summer long. 
Sizing: Unisex Style - US standards - Mens/Womens   i.e 8/9 = Mens US 8 / Womens US 9",https://cdn.shopify.com/s/files/1/2129/8823/products/S19-19548-Venroy-5P-0093_2000x.jpg?v=1576472445>>https://cdn.shopify.com/s/files/1/2129/8823/products/S19-19548-Venroy-5P-0102_2000x.jpg?v=1576472445>>https://cdn.shopify.com/s/files/1/2129/8823/products/S15-18717-Venroy-0102_2000x.jpg?v=1576218237>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_SP_75_bce3ec57-ed19-4fa9-9d19-96d57d273e93_2000x.jpg?v=1578356958>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_SP_76_e29273f5-118e-4be8-a30d-760d7c711da8_2000x.jpg?v=1578356958>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_SP_77_b3b2b1bb-dbd5-4007-8fb4-c455f1d4636f_2000x.jpg?v=1578356958,160.0,Nylon sandal
